ABC	5010241	89
ABC	5010242	99
ABC	5010251	89
ABC	5010252	99
ABC	5010301	89
ABC	5010302	99
ABC	5010641	89
ABC	5010642	99
ABC	5010651	89
ABC	5010652	99
ABC	5010661	89
ABC	5010662	99
ABC	5010671	89
ABC	5010672	99
ABC	5020121	89
ABC	5020122	99
ABC	5020151	89
ABC	5020152	99
ABC	5020161	89
ABC	5020162	99
ABC	5020201	89
ABC	5020202	99
ABC	5020581	89
ABC	5020582	99
ABC	5020591	89
ABC	5020592	99
ABC	5020601	89
ABC	5020602	99
ABC	5020631	89
ABC	5020632	99
ABC	5030031	89
ABC	5030032	99
ABC	5030101	89
ABC	5030102	99
ABC	5030851	89
ABC	5030852	99
ABC	5030861	89
ABC	5030862	99
ABC	5040391	89
ABC	5040392	99
ABC	5040401	89
ABC	5040402	99
ABC	5040421	89
ABC	5040422	99
ABC	5040831	89
ABC	5040832	99
ABC	5040841	89
ABC	5040842	99
ABC	5050351	89
ABC	5050352	99
ABC	5050361	89
ABC	5050362	99
